Regional,Nivel,Programa,Total,Estrato,Ano,Periodo
Bogotá,COTERMINALES,ARTICULACIÓN ESP. EN PROCEDIMIENTO PENAL CONSTITUCIONAL Y JUSTICIA MILITAR (BOGOTÁ),1,3,2022,2
Bogotá,COTERMINALES,COTERMINALES,1,1,2022,2
Bogotá,COTERMINALES,COTERMINALES,2,2,2022,2
Bogotá,COTERMINALES,COTERMINALES,1,3,2022,2
Bogotá,COTERMINALES,COTERMINALES,10,3,2022,2
Bogotá,COTERMINALES,COTERMINALES,2,4,2022,2
Bogotá,COTERMINALES,COTERMINALES,1,N,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),1,0,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),2,1,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),38,1,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),28,2,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),196,2,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),49,3,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),218,3,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),6,4,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),31,4,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),1,5,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),4,5,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),3,6,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),9,1,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),22,1,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),34,2,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),168,2,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),46,3,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),163,3,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),4,4,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),25,4,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),1,5,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),1,5,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),1,6,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),2,N,2022,2
